Locationabbr,Locationdesc,Class,Topic,Question,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,GeoLocation
NM,New Mexico,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"4,661",46.2,44.6,47.8,"1,119",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"4,115",53.8,52.2,55.4,"1,120",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"2,290",28.4,26.9,30,"2,611",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"3,052",36.4,34.8,38,"2,610",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"2,809",33.4,31.8,35,"2,609",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),133,1.7,1.3,2.2,"2,608",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"8,017",95.1,94.3,95.8,"2,839",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"6,826",76.7,75.4,78.1,481,%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"2,101",23.3,21.9,24.6,482,%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Some days,171,2.5,2,3,"2,838",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,150",40.1,37.4,42.8,"3,453",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,"1,375",59.9,57.2,62.6,"3,454",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,"1,322",19.2,17.7,20.6,"2,699",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"7,043",80.9,79.4,82.3,"2,700",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Every day,203,2.5,2,3,"2,837",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,870,12.7,11.4,13.9,"2,745",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,452,6.5,5.6,7.4,"2,746",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"2,476",25.5,24.1,26.8,"2,747",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"4,567",55.4,53.7,57.1,"2,748",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"1,780",72,69.5,74.5,"3,329",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,726,28,25.5,30.5,"3,330",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,182",69.7,67.4,72,"3,291",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,990,30.3,28,32.6,"3,292",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,498",65.9,63.7,68.1,"3,251",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,259",34.1,31.9,36.3,"3,252",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"2,300",71.4,69,73.8,"3,367",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,"1,019",28.6,26.2,31,"3,368",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"1,861",79,76.5,81.5,"3,411",%,"(34.52088095200048, -106.24058098499967)"
NM,New Mexico,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,533,21,18.6,23.5,"3,412",%,"(34.52088095200048, -106.24058098499967)"
NY,New York,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"3,548",54.5,52.9,56.1,"2,906",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,"2,791",45.5,43.9,47.2,"2,907",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,807,15,13.8,16.2,"2,952",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"5,456",85,83.8,86.2,"2,953",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,317,4.9,4.2,5.6,"2,998",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"5,944",95.1,94.4,95.8,"2,999",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"2,134",24.2,23,25.4,893,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"4,694",75.9,74.7,77.1,894,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,675,10.7,9.7,11.7,710,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"6,143",89.3,88.3,90.3,711,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,959,15,13.9,16.2,664,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"5,888",85,83.8,86.1,665,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,368,4.2,3.6,4.7,572,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,"6,452",95.8,95.3,96.4,573,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,327,3.8,3.3,4.3,527,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,"6,490",96.2,95.7,96.7,528,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,216,2.4,2,2.8,618,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,"6,630",97.6,97.2,98,619,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,502,5.8,5.2,6.5,847,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,COPD,Ever told you have COPD?,No,"6,327",94.2,93.5,94.8,848,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,"1,128",15.9,14.8,17,939,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,"5,706",84.1,83,85.2,940,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,842,10,9.2,10.9,"1,031",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",51,0.8,0.6,1.1,"1,032",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",110,1.5,1.1,1.8,"1,034",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"5,848",87.7,86.7,88.6,"1,033",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,165,2,1.6,2.4,985,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,"6,677",98,97.6,98.4,986,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,572,5.8,5.2,6.5,801,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,"6,274",94.2,93.6,94.8,802,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,432,4.1,3.6,4.5,756,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,"6,420",95.9,95.5,96.4,757,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,478,12.3,11,13.7,"3,492",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"3,310",87.7,86.3,89,"3,493",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,257,8,6.8,9.1,"3,532",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"2,781",92,90.9,93.2,"3,533",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"2,814",70.7,68.8,72.6,"3,572",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,"1,016",29.3,27.4,31.2,"3,573",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"2,098",68.1,65.9,70.2,"3,612",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,876,31.9,29.8,34.1,"3,613",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Age,What is your age?,18-24 years,406,12.6,11.3,13.8,"1,347",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Age,What is your age?,25-34 years,780,18,16.7,19.2,"1,348",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Age,What is your age?,35-44 years,868,16.2,15,17.3,"1,349",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Age,What is your age?,45-54 years,"1,217",17.9,16.8,19,"1,350",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Age,What is your age?,55-64 years,"1,514",16.3,15.3,17.3,"1,351",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Age,What is your age?,65+ years,"2,080",19.1,18.1,20.1,"1,352",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,291,4.5,3.8,5.2,"2,380",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"6,173",95.5,94.8,96.2,"2,381",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,571,9.5,8.5,10.4,"2,426",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"5,874",90.5,89.6,91.5,"2,427",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,Do you have difficulty doing errands alone?,Yes,470,6.4,5.7,7.1,"2,564",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,Do you have difficulty doing errands alone?,No,"5,969",93.6,92.9,94.3,"2,565",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,272,3.6,3,4.2,"2,518",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,Do you have difficulty dressing or bathing?,No,"6,175",96.4,95.8,97,"2,519",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,Yes,"1,093",14,13,15.1,"2,472",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,No,"5,356",86,84.9,87,"2,473",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,"1,492",19.3,18.1,20.5,"2,288",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"4,988",80.7,79.5,81.9,"2,289",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,786,8.9,8.1,9.7,"2,334",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,"5,706",91.1,90.3,91.9,"2,335",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,604,15.2,13.9,16.5,"1,727",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"1,623",27.2,25.8,28.6,"1,728",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,"1,573",27.3,25.8,28.7,"1,729",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Education,What is the highest grade or year of school you completed?,College+,"2,973",30.4,29.1,31.6,"1,730",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Employment,What is your employment status?,No work< yr,195,3.9,3.3,4.6,"1,810",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Employment,What is your employment status?,No work >yr,229,4,3.3,4.6,"1,809",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Employment,What is your employment status?,Student,240,6.9,5.9,7.9,"1,812",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Employment,What is your employment status?,Retired,"1,767",16.5,15.6,17.4,"1,813",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Employment,What is your employment status?,Unable to work,495,7.1,6.3,8,"1,814",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Employment,What is your employment status?,Employed,"2,831",46.3,44.8,47.9,"1,807",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Employment,What is your employment status?,Homemaker,363,6,5.2,6.7,"1,811",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Employment,What is your employment status?,Self-employed,629,9.4,8.5,10.3,"1,808",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Income,What is your annual household income?,"Less than $15,000",707,13.1,11.9,14.3,"1,988",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Income,What is your annual household income?,"$15,000 - 24,999",993,17.2,15.9,18.4,"1,989",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",559,10.4,9.3,11.4,"1,990",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",759,13.5,12.3,14.6,"1,991",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Income,What is your annual household income?,"$50,000+","2,784",45.9,44.3,47.6,"1,992",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Internet,Have you used the internet in the past 30 days?,Yes,"5,107",80,78.8,81.3,"2,173",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Internet,Have you used the internet in the past 30 days?,No,"1,486",20,18.8,21.2,"2,174",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Marital Status,What is your marital status?,Married,"3,110",47.2,45.7,48.8,"1,455",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Marital Status,What is your marital status?,Divorced,889,9.3,8.5,10.1,"1,456",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Marital Status,What is your marital status?,Widowed,771,6.2,5.6,6.8,"1,457",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Marital Status,What is your marital status?,Separated,241,3.3,2.8,3.9,"1,458",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Marital Status,What is your marital status?,Never married,"1,535",29.2,27.7,30.7,"1,459",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Marital Status,What is your marital status?,Partnered,230,4.8,4,5.5,"1,460",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,46,1,0.7,1.4,"1,597",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,77,1.6,1.2,2,"1,596",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,278,5.7,4.9,6.5,"1,595",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,680,13.3,12.2,14.4,"1,594",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,819,15.7,14.5,17,"1,593",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"4,908",62.6,61.1,64.2,"1,592",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Race,What is your race/ethnicity?,White,"4,471",57.7,56.2,59.1,"1,252",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Race,What is your race/ethnicity?,Black,878,14.3,13.2,15.4,"1,253",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Race,What is your race/ethnicity?,MultiRacial,65,0.9,0.6,1.1,"1,256",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Race,What is your race/ethnicity?,Other,377,9.5,8.4,10.5,"1,255",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Race,What is your race/ethnicity?,Hispanic,862,17.8,16.5,19.1,"1,254",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Rent/Own Home,Do you own or rent your home?,Own,"3,694",57.3,55.8,58.7,"2,219",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Rent/Own Home,Do you own or rent your home?,Rent,"2,617",38.3,36.9,39.7,"2,220",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Rent/Own Home,Do you own or rent your home?,Other,219,4.5,3.7,5.2,"2,221",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Sex,Gender of respondent,Male,"2,868",47.8,46.3,49.4,"2,083",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Sex,Gender of respondent,Female,"3,997",52.2,50.7,53.7,"2,084",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,Yes,664,7.8,7,8.5,"2,127",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,No,"6,185",92.2,91.5,93,"2,128",%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,784,14,12.9,15.2,321,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"6,062",86,84.9,87.1,322,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"6,276",87.7,86.6,88.9,162,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,565,12.3,11.1,13.4,163,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"5,313",74.9,73.5,76.3,367,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,746,12.3,11.3,13.4,368,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,417,7.4,6.6,8.3,369,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,296,4.8,4.1,5.4,370,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,29,0.6,0.4,0.9,371,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","5,349",74.3,72.9,75.7,252,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,521,7.2,6.4,8,253,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,945,18.5,17.2,19.8,254,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"4,131",85.4,84,86.8,208,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,520,14.6,13.3,16,209,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"5,603",82.8,81.6,84,116,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"1,199",17.2,16,18.4,117,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Status,Overall Health,How is your general health?,Excellent,"1,326",19.9,18.7,21.2,1,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Status,Overall Health,How is your general health?,Very good,"2,197",31.2,29.8,32.6,2,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Status,Overall Health,How is your general health?,Good,"2,080",31.7,30.2,33.1,3,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Status,Overall Health,How is your general health?,Fair,843,12.3,11.2,13.3,4,%,"(42.82700103200045, -75.54397042699964)"
NY,New York,Health Status,Overall Health,How is your general health?,Poor,356,4.9,4.2,5.6,5,%,"(42.82700103200045, -75.54397042699964)"
